ID_Reservasi,Rute,Tanggal,Tipe_Reservasi,Nama,No_HP,Jumlah_Penumpang,Waktu_Penjemputan,Alamat_Jemput,Kendaraan,Harga,Airlines_Code,Airlines_Company,Departure_Airport,Arrival_Airport,Durasi,Alamat_Antar
KR-0031,MALANG-SURABAYA,01-12-2024,charter_harian,Mahfud Mustofa,08186464860,4,17:57,"Jl. Jalan Kutai No. 3, MALANG",H-2,1200000,,,,,2.0,"Jl. Jalan Moch. Toha No. 235, SURABAYA"
KR-0032,MALANG-SURABAYA,29-04-2024,charter_harian,"dr. Hendra Permata, S.I.Kom",08301484241,9,22:41,"Jl. Jalan Rungkut Industri No. 30, MALANG",H-2,1350000,,,,,3.0,"Jl. Gg. Yos Sudarso No. 203, SURABAYA"
KR-0033,MALANG-JUANDA,01-06-2024,reguler,Dt. Gaman Maryati,08951494136,2,04:54,"Jl. Gg. Kapten Muslihat No. 155, MALANG",Z-1,360000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0034,JUANDA-MALANG,23-04-2025,charter_drop,Umay Iswahyudi,08974892821,7,00:23,"Jl. Gg. Dipatiukur No. 57, JUANDA",Z-1,520000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0035,SURABAYA-MALANG,01-12-2024,charter_harian,R.A. Oni Hidayanto,08386475327,10,17:40,"Jl. Jl. Pasirkoja No. 74, SURABAYA",S-2,1200000,,,,,2.0,"Jl. Jl. Rajawali Timur No. 80, MALANG"
KR-0036,MALANG-JUANDA,26-12-2025,charter_drop,"Sutan Rahman Ramadan, M.Ak",08005937406,10,03:46,"Jl. Jalan Cihampelas No. 270, MALANG",H-2,595000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0037,MALANG-SURABAYA,22-08-2024,charter_harian,"T. Luis Dongoran, S.Pt",08943118717,3,19:31,"Jl. Gg. Ciumbuleuit No. 27, MALANG",X-2,1250000,,,,,6.0,"Jl. Gang Jayawijaya No. 109, SURABAYA"
KR-0038,SURABAYA-MALANG,26-04-2025,charter_harian,"Aswani Nainggolan, S.H.",08467824904,6,23:50,"Jl. Gang M.T Haryono No. 37, SURABAYA",V-51,1950000,,,,,7.0,"Jl. Jalan Stasiun Wonokromo No. 175, MALANG"
KR-0039,SURABAYA-MALANG,20-11-2024,charter_harian,Kajen Ardianto,08093631539,10,10:27,"Jl. Jl. Kutai No. 105, SURABAYA",H-2,1200000,,,,,5.0,"Jl. Jalan Sadang Serang No. 102, MALANG"
KR-0040,SURABAYA-MALANG,17-11-2024,charter_harian,"R. Ibrahim Susanti, S.IP",08127559432,10,17:33,"Jl. Jalan Jamika No. 16, SURABAYA",Z-1,1800000,,,,,6.0,"Jl. Jalan M.H Thamrin No. 75, MALANG"
KR-0041,MALANG-SURABAYA,25-06-2025,charter_harian,Genta Thamrin,08227467915,7,13:39,"Jl. Jl. KH Amin Jasuta No. 21, MALANG",H-2,1000000,,,,,2.0,"Jl. Gg. BKR No. 231, SURABAYA"
KR-0042,MALANG-JUANDA,08-01-2024,charter_drop,"Cut Maida Hartati, M.Ak",08166737275,2,01:26,"Jl. Gg. W.R. Supratman No. 287, MALANG",Z-1,395000,ID,Batik Air,Malang International Airport,Juanda International Airport,,
KR-0043,MALANG-JUANDA,03-06-2025,charter_drop,Wira Hakim,08393646288,2,00:56,"Jl. Jl. Raya Setiabudhi No. 230, MALANG",Z-1,395000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0044,MALANG-JUANDA,30-09-2024,charter_drop,Kacung Yulianti,08019800560,5,14:54,"Jl. Jl. Kebonjati No. 73, MALANG",S-2,470000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0045,MALANG-JUANDA,30-07-2024,reguler,Bancar Wulandari,08226919115,10,16:30,"Jl. Jl. Ahmad Yani No. 168, MALANG",V-52,1975000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0046,MALANG-JUANDA,19-02-2025,charter_drop,Prabu Yulianti,08859745925,6,11:22,"Jl. Jalan Erlangga No. 63, MALANG",Z-1,495000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0047,JUANDA-MALANG,16-02-2024,reguler,"Diana Suartini, S.Pd",08828199424,3,11:10,"Jl. Gang Gedebage Selatan No. 279, JUANDA",H-2,540000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0048,JUANDA-MALANG,24-02-2024,charter_drop,Caraka Saptono,08478238610,1,11:26,"Jl. Jl. Cikutra Barat No. 265, JUANDA",H-2,395000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0049,MALANG-SURABAYA,28-09-2025,charter_harian,Cakrawala Wacana,08262930643,9,17:38,"Jl. Jalan W.R. Supratman No. 165, MALANG",H-2,1800000,,,,,2.0,"Jl. Gg. H.J Maemunah No. 7, SURABAYA"
KR-0050,JUANDA-MALANG,10-05-2025,reguler,"Drs. Sadina Narpati, M.TI.",08954072680,10,23:19,"Jl. Jl. Kutisari Selatan No. 263, JUANDA",Z-1,2125000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0051,JUANDA-MALANG,23-09-2025,reguler,Genta Mulyani,08711128338,10,09:24,"Jl. Gang Antapani Lama No. 289, JUANDA",H-2,1975000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0052,JUANDA-MALANG,02-04-2025,charter_drop,"Sutan Harjo Astuti, M.Pd",08111796355,2,18:49,"Jl. Jl. Jamika No. 55, JUANDA",Z-1,950000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0053,MALANG-JUANDA,08-01-2024,charter_drop,Rahayu Iswahyudi,08059823942,6,00:01,"Jl. Jl. Bangka Raya No. 116, MALANG",R-1,495000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0054,MALANG-JUANDA,08-04-2025,charter_drop,"Saadat Sirait, S.Kom",08604786710,10,14:59,"Jl. Gang Suryakencana No. 65, MALANG",Z-1,595000,GA,Garuda Indonesia,Malang International Airport,Juanda International Airport,,
KR-0055,SURABAYA-MALANG,03-01-2024,charter_harian,"Rahmi Maryadi, M.Farm",08353012427,8,12:39,"Jl. Jl. Jend. A. Yani No. 78, SURABAYA",V-52,1200000,,,,,7.0,"Jl. Gg. R.E Martadinata No. 8, MALANG"
KR-0056,MALANG-SURABAYA,04-04-2025,charter_harian,"Sadina Salahudin, M.Kom.",08492210256,5,02:23,"Jl. Jalan Sadang Serang No. 167, MALANG",H-2,650000,,,,,4.0,"Jl. Jalan M.T Haryono No. 29, SURABAYA"
KR-0057,JUANDA-MALANG,15-01-2025,reguler,Surya Marpaung,08434145124,2,22:31,"Jl. Jalan R.E Martadinata No. 50, JUANDA",Z-1,510000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0058,JUANDA-MALANG,25-01-2024,reguler,Lurhur Tarihoran,08989017435,7,00:20,"Jl. Gg. Cikapayang No. 92, JUANDA",H-2,1360000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0059,JUANDA-MALANG,12-09-2025,reguler,Irma Rajata,08679964539,5,05:40,"Jl. Jl. Dipatiukur No. 219, JUANDA",S-2,950000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0060,MALANG-SURABAYA,03-06-2025,charter_harian,Elisa Fujiati,08332265065,4,22:15,"Jl. Gg. Rungkut Industri No. 189, MALANG",H-2,1950000,,,,,1.0,"Jl. Jalan H.J Maemunah No. 272, SURABAYA"
KR-0061,SURABAYA-MALANG,21-04-2025,charter_harian,Juli Simanjuntak,08229140400,8,22:19,"Jl. Gang Ahmad Dahlan No. 28, SURABAYA",V-50,1350000,,,,,2.0,"Jl. Gang Yos Sudarso No. 78, MALANG"
KR-0062,MALANG-JUANDA,12-11-2024,charter_drop,Jane Budiman,08814365192,8,11:58,"Jl. Gang Monginsidi No. 56, MALANG",Z-1,545000,SJ,Sriwijaya Air,Malang International Airport,Juanda International Airport,,
KR-0063,MALANG-JUANDA,18-10-2025,charter_drop,"Hj. Cindy Wasita, S.IP",08353189101,2,20:16,"Jl. Jl. Pelajar Pejuang No. 222, MALANG",Z-1,495000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0064,JUANDA-MALANG,11-08-2025,reguler,Paulin Pranowo,08125255276,9,02:49,"Jl. Gang Rajiman No. 123, JUANDA",H-2,1770000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0065,JUANDA-MALANG,14-05-2025,charter_drop,Raditya Samosir,08604824346,5,20:47,"Jl. Gg. Lembong No. 241, JUANDA",Z-1,570000,GA,Garuda Indonesia,Juanda International Airport,Malang International Airport,,
KR-0066,JUANDA-MALANG,31-10-2024,charter_drop,Dt. Anom Suwarno,08784799712,2,14:03,"Jl. Gg. Ahmad Yani No. 120, JUANDA",Z-1,395000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0067,JUANDA-MALANG,16-04-2025,charter_drop,Dipa Maryati,08701973791,1,07:25,"Jl. Jalan Cihampelas No. 238, JUANDA",V-52,395000,SJ,Sriwijaya Air,Juanda International Airport,Malang International Airport,,
KR-0068,MALANG-JUANDA,09-06-2025,charter_drop,Dt. Latif Nasyiah,08043323751,7,06:45,"Jl. Gang Erlangga No. 30, MALANG",Z-1,520000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0069,SURABAYA-MALANG,17-09-2025,charter_harian,Padmi Permata,08040605923,3,10:50,"Jl. Gang Pacuan Kuda No. 23, SURABAYA",S-2,1000000,,,,,5.0,"Jl. Jalan Rawamangun No. 174, MALANG"
KR-0070,MALANG-SURABAYA,15-02-2025,charter_harian,Alambana Thamrin,08135110985,3,05:09,"Jl. Gg. Pelajar Pejuang No. 42, MALANG",Z-1,1200000,,,,,1.0,"Jl. Gg. Ciwastra No. 18, SURABAYA"
KR-0071,JUANDA-MALANG,20-02-2024,charter_drop,Emin Pranowo,08862459173,2,08:03,"Jl. Jl. K.H. Wahid Hasyim No. 78, JUANDA",V-50,395000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0072,JUANDA-MALANG,03-04-2024,reguler,"Farah Agustina, S.Kom",08024331724,10,02:30,"Jl. Jalan Jakarta No. 207, JUANDA",V-52,1975000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0073,JUANDA-MALANG,07-12-2024,charter_drop,Cecep Tampubolon,08593474561,3,06:11,"Jl. Jalan Lembong No. 161, JUANDA",Z-1,420000,OD,Batik Air Malaysia/Malindo,Juanda International Airport,Malang International Airport,,
KR-0074,SURABAYA-MALANG,13-02-2024,charter_harian,Adikara Oktaviani,08394258535,6,17:35,"Jl. Jl. Yos Sudarso No. 266, SURABAYA",Z-1,1800000,,,,,4.0,"Jl. Gg. Otto Iskandardinata No. 143, MALANG"
KR-0075,JUANDA-MALANG,06-11-2024,charter_drop,"Adhiarja Hutapea, M.Kom.",08621828569,7,14:32,"Jl. Gg. Dr. Djunjunan No. 200, JUANDA",Z-1,520000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0076,SURABAYA-MALANG,18-05-2024,charter_harian,Pia Dabukke,08333788587,9,14:40,"Jl. Jalan Yos Sudarso No. 47, SURABAYA",Z-1,1000000,,,,,8.0,"Jl. Gg. Rajawali Timur No. 225, MALANG"
KR-0077,JUANDA-MALANG,06-12-2025,charter_drop,"Hj. Dina Wijaya, S.H.",08183105838,9,07:09,"Jl. Gang H.J Maemunah No. 188, JUANDA",V-51,570000,QZ,AirAsia Indonesia,Juanda International Airport,Malang International Airport,,
KR-0078,MALANG-SURABAYA,04-04-2024,charter_harian,"Ir. Indah Yuliarti, M.Ak",08771349904,10,18:45,"Jl. Gg. Astana Anyar No. 85, MALANG",Z-1,1250000,,,,,6.0,"Jl. Jalan Kebonjati No. 250, SURABAYA"
KR-0079,MALANG-SURABAYA,27-02-2025,charter_harian,Ratih Nainggolan,08132924579,4,04:36,"Jl. Jalan Stasiun Wonokromo No. 64, MALANG",H-2,1800000,,,,,6.0,"Jl. Jalan Merdeka No. 167, SURABAYA"
KR-0080,MALANG-JUANDA,07-01-2025,charter_drop,Ratna Puspasari,08128812791,3,05:24,"Jl. Jalan Rawamangun No. 260, MALANG",H-2,420000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0081,MALANG-JUANDA,13-08-2024,charter_drop,Gambira Winarno,08074827587,2,07:07,"Jl. Jl. Veteran No. 229, MALANG",H-2,395000,ID,Batik Air,Malang International Airport,Juanda International Airport,,
KR-0082,MALANG-SURABAYA,27-07-2024,charter_harian,Lidya Napitupulu,08114995425,4,21:09,"Jl. Jl. Gardujati No. 4, MALANG",Z-1,1300000,,,,,8.0,"Jl. Gg. Jend. Sudirman No. 152, SURABAYA"
KR-0083,MALANG-SURABAYA,07-11-2024,charter_harian,Hendri Nuraini,08339214298,10,05:35,"Jl. Gg. Kendalsari No. 202, MALANG",Z-1,1500000,,,,,3.0,"Jl. Jl. Soekarno Hatta No. 24, SURABAYA"
KR-0084,MALANG-JUANDA,30-06-2025,charter_drop,"Darimin Widodo, M.Ak",08405816152,6,19:08,"Jl. Gg. Asia Afrika No. 66, MALANG",Z-1,545000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0085,JUANDA-MALANG,16-11-2024,reguler,"Ganda Puspita, M.Kom.",08838700440,8,02:45,"Jl. Gg. Jakarta No. 69, JUANDA",Z-1,1565000,QZ,AirAsia Indonesia,Juanda International Airport,Malang International Airport,,
KR-0086,JUANDA-MALANG,16-06-2025,charter_drop,Hairyanto Ramadan,08643294386,5,10:44,"Jl. Jalan Raya Ujungberung No. 296, JUANDA",H-2,470000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0087,MALANG-JUANDA,11-01-2024,reguler,"Diah Halim, S.Pd",08470865095,4,21:24,"Jl. Jl. Siliwangi No. 3, MALANG",H-2,845000,JT,Lion Air,Malang International Airport,Juanda International Airport,,
KR-0088,MALANG-SURABAYA,23-12-2024,charter_harian,Kayla Sitorus,08203252779,7,07:52,"Jl. Gang Wonoayu No. 37, MALANG",V-52,1500000,,,,,8.0,"Jl. Jl. BKR No. 37, SURABAYA"
KR-0089,JUANDA-MALANG,06-09-2024,charter_drop,"Ir. Salsabila Padmasari, S.Gz",08838390087,10,10:28,"Jl. Gg. Jamika No. 112, JUANDA",R-1,595000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0090,SURABAYA-MALANG,07-02-2024,charter_harian,Utama Narpati,08391026454,9,19:02,"Jl. Gg. Wonoayu No. 39, SURABAYA",Z-1,1250000,,,,,6.0,"Jl. Jalan Pasir Koja No. 239, MALANG"
KR-0091,JUANDA-MALANG,11-09-2024,charter_drop,"Dr. Eko Nainggolan, S.E.",08141182540,8,10:55,"Jl. Jalan Siliwangi No. 19, JUANDA",H-2,545000,AK,AirAsia,Juanda International Airport,Malang International Airport,,
KR-0092,JUANDA-MALANG,24-08-2024,reguler,"R.M. Slamet Sinaga, M.Kom.",08633042078,8,07:55,"Jl. Jl. Soekarno Hatta No. 185, JUANDA",Z-1,1565000,QZ,AirAsia Indonesia,Juanda International Airport,Malang International Airport,,
KR-0093,SURABAYA-MALANG,02-12-2024,charter_harian,"Safina Mahendra, S.H.",08423104254,3,14:44,"Jl. Gg. R.E Martadinata No. 119, SURABAYA",Z-1,1200000,,,,,3.0,"Jl. Gg. Sukajadi No. 155, MALANG"
KR-0094,SURABAYA-MALANG,20-06-2024,charter_harian,Zulfa Simanjuntak,08888155518,3,10:39,"Jl. Gg. R.E Martadinata No. 109, SURABAYA",H-2,1000000,,,,,9.0,"Jl. Gg. Soekarno Hatta No. 99, MALANG"
KR-0095,SURABAYA-MALANG,20-01-2025,charter_harian,Widya Susanti,08474641001,6,19:08,"Jl. Gg. Abdul Muis No. 102, SURABAYA",H-2,1250000,,,,,8.0,"Jl. Jalan Kendalsari No. 51, MALANG"
KR-0096,MALANG-JUANDA,03-01-2024,charter_drop,Kardi Siregar,08850766754,1,23:25,"Jl. Gg. Jamika No. 196, MALANG",Z-1,545000,AK,AirAsia,Malang International Airport,Juanda International Airport,,
KR-0097,SURABAYA-MALANG,09-01-2025,charter_harian,Hesti Waskita,08997089918,8,12:43,"Jl. Gg. Ahmad Dahlan No. 146, SURABAYA",Z-1,1000000,,,,,8.0,"Jl. Gang Gedebage Selatan No. 157, MALANG"
KR-0098,MALANG-JUANDA,24-07-2025,reguler,"Farhunnisa Rahayu, M.Pd",08268729311,3,10:54,"Jl. Jl. Kutai No. 89, MALANG",Z-1,540000,QG,Citilink,Malang International Airport,Juanda International Airport,,
KR-0099,JUANDA-MALANG,18-04-2024,charter_drop,"Umaya Maheswara, S.Gz",08678711340,10,17:24,"Jl. Jl. Cihampelas No. 237, JUANDA",X-2,595000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0100,JUANDA-MALANG,02-01-2024,charter_drop,Tari Narpati,08371592841,6,20:37,"Jl. Jl. Dipenogoro No. 246, JUANDA",H-2,595000,QG,Citilink,Juanda International Airport,Malang International Airport,,
KR-0101,SURABAYA-MALANG,04-10-2024,charter_harian,Patricia Pertiwi,08873517390,4,05:22,"Jl. Jalan Waringin No. 193, SURABAYA",R-1,1200000,,,,,7.0,"Jl. Gang Waringin No. 180, MALANG"
KR-0102,MALANG-SURABAYA,12-11-2025,charter_harian,"R.A. Ana Kuswoyo, S.E.",08072826389,4,12:57,"Jl. Gg. K.H. Wahid Hasyim No. 248, MALANG",V-50,1200000,,,,,3.0,"Jl. Gang K.H. Wahid Hasyim No. 182, SURABAYA"
KR-0103,MALANG-JUANDA,03-06-2024,reguler,"drg. Calista Melani, M.Kom.",08296865937,9,08:15,"Jl. Jalan Ronggowarsito No. 9, MALANG",H-2,1770000,QZ,AirAsia Indonesia,Malang International Airport,Juanda International Airport,,
KR-0104,MALANG-SURABAYA,14-12-2025,charter_harian,Zulaikha Siregar,08355518873,2,07:58,"Jl. Gang Peta No. 236, MALANG",V-51,1200000,,,,,1.0,"Jl. Gg. Kutai No. 58, SURABAYA"
KR-0105,MALANG-JUANDA,01-05-2024,reguler,"Okta Ramadan, S.H.",08040533370,10,03:01,"Jl. Jl. Kutai No. 216, MALANG",X-2,1975000,OD,Batik Air Malaysia/Malindo,Malang International Airport,Juanda International Airport,,
KR-0106,JUANDA-MALANG,27-07-2025,charter_drop,Vega Situmorang,08931332517,7,11:24,"Jl. Jl. Wonoayu No. 185, JUANDA",S-2,520000,JT,Lion Air,Juanda International Airport,Malang International Airport,,
KR-0107,MALANG-SURABAYA,30-03-2025,charter_harian,"Harsana Irawan, S.Sos",08807129881,3,21:26,"Jl. Jl. Pacuan Kuda No. 50, MALANG",V-52,750000,,,,,9.0,"Jl. Gang Kapten Muslihat No. 165, SURABAYA"
KR-0108,SURABAYA-MALANG,15-08-2024,charter_harian,Dalima Prayoga,08941438692,5,20:39,"Jl. Gg. S. Parman No. 18, SURABAYA",H-2,750000,,,,,6.0,"Jl. Jl. R.E Martadinata No. 195, MALANG"
KR-0109,MALANG-SURABAYA,13-06-2025,charter_harian,"Sutan Kardi Sudiati, S.Farm",08896294920,3,14:15,"Jl. Gg. Suniaraja No. 281, MALANG",H-2,1000000,,,,,9.0,"Jl. Gang Waringin No. 185, SURABAYA"
KR-0110,SURABAYA-MALANG,30-07-2024,charter_harian,Maras Winarsih,08126356808,9,17:04,"Jl. Gg. Sukabumi No. 115, SURABAYA",H-2,1200000,,,,,9.0,"Jl. Jl. Antapani Lama No. 245, MALANG"
KR-0111,JUANDA-MALANG,16-08-2025,charter_drop,Dr. Fitria Riyanti,08885099065,8,12:31,"Jl. Gg. Pelajar Pejuang No. 107, JUANDA",V-50,545000,ID,Batik Air,Juanda International Airport,Malang International Airport,,
KR-0112,MALANG-JUANDA,06-12-2025,reguler,Harja Halim,08667585828,2,08:13,"Jl. Gg. BKR No. 255, MALANG",H-2,360000,ID,Batik Air,Malang International Airport,Juanda International Airport,,
